编号,价格
1,32.0
2,29.0
3,69.0
4,30.0
5,40.0
6,37.0
7,49.0
8,69.0
9,25.0
10,40.0
11,37.0
12,39.0
13,48.0
14,55.0
15,40.0
16,30.0
17,37.0
18,45.0
19,40.0
20,35.0
21,69.0
22,39.0
23,40.0
24,69.0
25,28.0
26,30.0
27,30.0
28,49.0
29,55.0
30,39.0
31,38.0
32,69.0
33,50.0
34,52.0
35,20.0
36,40.0
37,60.0
38,50.0
39,63.0
40,25.0
41,50.0
42,37.0
43,70.0
44,55.0
45,69.0
46,35.0
47,40.0
48,36.0
49,35.0
50,30.0
51,53.0
52,45.0
53,69.0
54,38.0
55,49.0
56,50.0
57,55.0
58,30.0
59,69.0
60,50.0
61,56.0
62,60.0
63,30.0
64,69.0
65,35.0
66,55.0
67,40.0
68,50.0
69,52.0
70,25.0
71,49.9
72,42.0
73,50.0
74,37.0
75,69.0
76,55.0
77,69.0
78,40.0
79,56.0
80,69.0
81,69.0
82,43.0
83,55.0
84,40.0
85,50.0
86,39.0
87,36.0
88,39.0
89,50.0
90,35.0
91,42.0
92,45.0
93,29.0
94,50.0
95,40.0
96,45.0
97,30.0
98,45.0
99,35.0
100,45.0
